A/C,N,O,R,RU,U,UO,RO
crab MR,0.083333333,0.138888889,0.166666667,0.138888889,0.194444444,0.222222222,0.055555556
crab NR,0.094262295,0.143442623,0.159836066,0.176229508,0.172131148,0.135245902,0.118852459
prawns LR,0.058823529,0.294117647,0.176470588,0.176470588,0.235294118,0,0.058823529
prawns HR,0,0,0.25,0.5,0.25,0,0
prawns KR,0.156089194,0.145797599,0.12864494,0.133790738,0.123499142,0.154373928,0.15780446
prawns MR,0.25,0.125,0.25,0.25,0.125,0,0
prawns NR,0.086206897,0.112068966,0.198275862,0.163793103,0.224137931,0.120689655,0.094827586
shark LR,0.089041096,0.109589041,0.136986301,0.212328767,0.150684932,0.198630137,0.102739726
shark HR,0.2,0.3,0.2,0,0.1,0.2,0
shark MR,0.153846154,0.153846154,0.2,0.107692308,0.184615385,0.123076923,0.076923077
shark KR,0.469230769,0.1,0.115384615,0.061538462,0.1,0.061538462,0.092307692
shark NR,0.047745358,0.164456233,0.143236074,0.153846154,0.148541114,0.151193634,0.190981432
avaraikai LR,0.059701493,0.119402985,0.149253731,0.164179104,0.164179104,0.179104478,0.164179104
avaraikai HR,0,0.428571429,0,0,0,0.571428571,0
avaraikai KR,0.205333333,0.146666667,0.136,0.144,0.154666667,0.098666667,0.114666667
avaraikai MR,0,0.12,0.16,0.2,0.2,0.08,0.24
avaraikai NR,0.090551181,0.137795276,0.153543307,0.133858268,0.118110236,0.192913386,0.173228346
banana LR,0.08,0.108571429,0.154285714,0.194285714,0.142857143,0.125714286,0.194285714
banana HR,0,0.176470588,0.176470588,0.294117647,0.176470588,0.176470588,0
banana KR,0.299065421,0.154205607,0.079439252,0.088785047,0.126168224,0.144859813,0.107476636
banana MR,0.037735849,0.094339623,0.20754717,0.245283019,0.188679245,0.113207547,0.113207547
banana NR,0.089219331,0.163568773,0.171003717,0.12267658,0.144981413,0.156133829,0.152416357
beans LR,0.064935065,0.142857143,0.103896104,0.077922078,0.168831169,0.285714286,0.155844156
beans HR,0,0.285714286,0,0.428571429,0.285714286,0,0
beans KR,0.223188406,0.110144928,0.139130435,0.12173913,0.136231884,0.127536232,0.142028986
beans MR,0,0.363636364,0.045454545,0.181818182,0.272727273,0,0.136363636
beans NR,0.079422383,0.162454874,0.16967509,0.176895307,0.129963899,0.137184116,0.144404332
beetroot LR,0,0.176470588,0.176470588,0.176470588,0.235294118,0.058823529,0.176470588
beetroot HR,0,0,0.25,0,0.25,0,0.5
beetroot KR,0.15,0.143333333,0.146666667,0.136666667,0.136666667,0.151666667,0.135
beetroot MR,0.111111111,0.333333333,0,0,0.111111111,0.222222222,0.222222222
beetroot NR,0.132653061,0.12244898,0.12244898,0.193877551,0.163265306,0.102040816,0.163265306
brinjal LR,0,0.142857143,0.142857143,0.428571429,0.285714286,0,0
brinjal KR,0.151937984,0.147286822,0.145736434,0.148837209,0.137984496,0.130232558,0.137984496
brinjal NR,0.08,0.106666667,0.12,0.066666667,0.16,0.266666667,0.2
brinjal MR,0,0,0,0,1,0,0
cabbage LR,0.108108108,0.189189189,0.243243243,0.135135135,0.216216216,0.054054054,0.054054054
cabbage HR,0,0,0.5,0,0.5,0,0
cabbage KR,0.170682731,0.130522088,0.124497992,0.136546185,0.138554217,0.13253012,0.166666667
cabbage MR,0.166666667,0.277777778,0.166666667,0.111111111,0.222222222,0,0.055555556
cabbage NR,0.069364162,0.156069364,0.167630058,0.167630058,0.12716763,0.208092486,0.104046243
capsicum LR,0.070588235,0.188235294,0.152941176,0.223529412,0.152941176,0.094117647,0.117647059
capsicum HR,0,0,0.181818182,0.454545455,0.181818182,0.090909091,0.090909091
capsicum KR,0.491803279,0.098360656,0.073770492,0.06557377,0.114754098,0.040983607,0.114754098
capsicum MR,0.166666667,0.166666667,0.111111111,0.166666667,0.194444444,0.055555556,0.138888889
capsicum NR,0.067510549,0.147679325,0.160337553,0.139240506,0.143459916,0.185654008,0.156118143
chillie LR,0,0.041666667,0.041666667,0.5,0.25,0.083333333,0.083333333
chillie HR,0,1,0,0,0,0,0
chillie MR,0,0.111111111,0.222222222,0.444444444,0.111111111,0.111111111,0
chillie KR,0.163822526,0.133105802,0.134812287,0.12116041,0.136518771,0.153583618,0.156996587
chillie NR,0.075471698,0.198113208,0.20754717,0.160377358,0.160377358,0.103773585,0.094339623
cauliflower LR,0.045454545,0.136363636,0.090909091,0.090909091,0.181818182,0.181818182,0.272727273
cauliflower HR,0,0,0.333333333,0,0.333333333,0,0.333333333
cauliflower MR,0,0,0.333333333,0,0.666666667,0,0
cauliflower KR,0.165048544,0.132686084,0.144012945,0.140776699,0.129449838,0.144012945,0.144012945
cauliflower NR,0.012195122,0.231707317,0.134146341,0.182926829,0.207317073,0.134146341,0.097560976
carrot LR,0,0.1,0.2,0.3,0.2,0.2,0
carrot KR,0.154559505,0.145285935,0.139103555,0.13755796,0.14064915,0.148377125,0.13446677
carrot NR,0.057971014,0.130434783,0.15942029,0.173913043,0.144927536,0.086956522,0.246376812
carrot MR,0,0,0.5,0,0.5,0,0
chowchow LR,0.106666667,0.08,0.173333333,0.226666667,0.133333333,0.146666667,0.133333333
chowchow HR,0,0.166666667,0.333333333,0,0.5,0,0
chowchow KR,0.504672897,0.093457944,0.093457944,0.065420561,0.112149533,0.065420561,0.065420561
chowchow MR,0.097560976,0.146341463,0.195121951,0.243902439,0.073170732,0.073170732,0.170731707
chowchow NR,0.076152305,0.162324649,0.142284569,0.140280561,0.152304609,0.166332665,0.160320641
corn LR,0.045751634,0.163398693,0.137254902,0.163398693,0.163398693,0.163398693,0.163398693
corn HR,0.076923077,0.076923077,0.230769231,0.153846154,0.115384615,0.115384615,0.230769231
corn KR,0.518181818,0.090909091,0.145454545,0.045454545,0.054545455,0.1,0.045454545
corn MR,0.130952381,0.119047619,0.154761905,0.119047619,0.19047619,0.107142857,0.178571429
corn NR,0.076056338,0.16056338,0.135211268,0.169014085,0.152112676,0.157746479,0.149295775
cucumber LR,0.021276596,0.159574468,0.191489362,0.180851064,0.117021277,0.244680851,0.085106383
cucumber HR,0,0,0,0.333333333,0,0.333333333,0.333333333
cucumber KR,0.282722513,0.157068063,0.136125654,0.089005236,0.115183246,0.078534031,0.141361257
cucumber MR,0.147058824,0.058823529,0.029411765,0.117647059,0.235294118,0.147058824,0.264705882
cucumber NR,0.106699752,0.141439206,0.146401985,0.158808933,0.156327543,0.146401985,0.143920596
drumstick LR,0.095238095,0.095238095,0.238095238,0,0.047619048,0.476190476,0.047619048
drumstick HR,0.6,0,0,0,0,0.4,0
drumstick KR,0.16036036,0.136936937,0.142342342,0.151351351,0.135135135,0.113513514,0.16036036
drumstick MR,0,0.142857143,0,0.571428571,0.142857143,0,0.142857143
drumstick NR,0.071428571,0.178571429,0.142857143,0.114285714,0.192857143,0.207142857,0.092857143
greens LR,0,0,0.222222222,0.444444444,0.222222222,0,0.111111111
greens KR,0.146487294,0.146487294,0.140508221,0.128550075,0.143497758,0.144992526,0.149476831
greens NR,0.12244898,0.12244898,0.163265306,0.285714286,0.102040816,0.142857143,0.06122449
greens MR,0,0,0,0,1,0,0
gourds LR,0.064327485,0.122807018,0.152046784,0.152046784,0.18128655,0.18128655,0.14619883
gourds HR,0,0.161290323,0.161290323,0.35483871,0.193548387,0.096774194,0.032258065
gourds MR,0.134328358,0.119402985,0.119402985,0.179104478,0.141791045,0.171641791,0.134328358
gourds KR,0.504424779,0.07079646,0.097345133,0.115044248,0.079646018,0.053097345,0.079646018
gourds NR,0.064516129,0.193548387,0.164874552,0.107526882,0.139784946,0.146953405,0.182795699
kovaikai LR,0.071428571,0.142857143,0.071428571,0.214285714,0.321428571,0.035714286,0.142857143
kovaikai HR,0,0,0.5,0,0.5,0,0
kovaikai KR,0.154761905,0.134920635,0.130952381,0.148809524,0.136904762,0.150793651,0.142857143
kovaikai MR,0.333333333,0.25,0.083333333,0,0.083333333,0.25,0
kovaikai NR,0.10989011,0.159340659,0.186813187,0.126373626,0.131868132,0.131868132,0.153846154
kothavarai LR,0.033333333,0.266666667,0.1,0.066666667,0.166666667,0.2,0.166666667
kothavarai HR,0,0.333333333,0,0,0.666666667,0,0
kothavarai KR,0.159052453,0.140439932,0.148900169,0.153976311,0.128595601,0.116751269,0.152284264
kothavarai MR,0,0,0,0.2,0,0.6,0.2
kothavarai NR,0.090909091,0.121212121,0.131313131,0.101010101,0.212121212,0.262626263,0.080808081
Lfinger LR,0.115384615,0.230769231,0.115384615,0.230769231,0.115384615,0.076923077,0.115384615
Lfinger HR,0.5,0.5,0,0,0,0,0
Lfinger KR,0.162831858,0.132743363,0.139823009,0.145132743,0.139823009,0.14159292,0.138053097
Lfinger MR,0,0.5,0.5,0,0,0,0
Lfinger NR,0.060150376,0.157894737,0.157894737,0.120300752,0.165413534,0.165413534,0.172932331
malli LR,0.533333333,0.066666667,0,0.2,0.133333333,0,0.066666667
malli HR,0.333333333,0,0,0,0,0.666666667,0
malli KR,0.139183056,0.142208775,0.149773071,0.145234493,0.137670197,0.146747352,0.139183056
malli MR,0,0,0,0.5,0.5,0,0
malli NR,0.063829787,0.191489362,0.106382979,0.085106383,0.212765957,0.106382979,0.234042553
mango LR,0.051020408,0.163265306,0.153061224,0.142857143,0.153061224,0.214285714,0.12244898
mango HR,0,0,0.125,0,0.125,0,0.75
mango KR,0.794117647,0.073529412,0.058823529,0.058823529,0.014705882,0,0
mango MR,0.068181818,0.159090909,0.113636364,0.25,0.090909091,0.068181818,0.25
mango NR,0.082352941,0.149019608,0.154901961,0.147058824,0.162745098,0.156862745,0.147058824
mushroom LR,0.176470588,0.147058824,0.058823529,0.382352941,0.117647059,0.088235294,0.029411765
mushroom HR,0,0,0,0,1,0,0
mushroom KR,0.147302905,0.132780083,0.145228216,0.12033195,0.134854772,0.151452282,0.168049793
mushroom MR,0,0.222222222,0.111111111,0,0.555555556,0.111111111,0
mushroom NR,0.133663366,0.163366337,0.153465347,0.163366337,0.143564356,0.133663366,0.108910891
nuckol LR,0.020833333,0.083333333,0.166666667,0.208333333,0.208333333,0.166666667,0.145833333
nuckol HR,0,0.333333333,0,0.166666667,0,0,0.5
nuckol MR,0.071428571,0.178571429,0.142857143,0.321428571,0.178571429,0,0.107142857
nuckol KR,0.184931507,0.157534247,0.123287671,0.114155251,0.143835616,0.141552511,0.134703196
nuckol NR,0.096153846,0.115384615,0.182692308,0.163461538,0.125,0.163461538,0.153846154
onion LR,0,0.176470588,0.176470588,0.117647059,0.294117647,0.176470588,0.058823529
onion HR,0,1,0,0,0,0,0
onion KR,0.170854271,0.135678392,0.132328308,0.137353434,0.137353434,0.144053601,0.142378559
onion MR,0,0.285714286,0.285714286,0.142857143,0.142857143,0.142857143,0
onion NR,0.018867925,0.160377358,0.188679245,0.179245283,0.150943396,0.132075472,0.169811321
peas LR,0.064516129,0.139784946,0.161290323,0.193548387,0.247311828,0.075268817,0.11827957
peas HR,0.454545455,0,0.090909091,0.090909091,0.090909091,0.181818182,0.090909091
peas KR,0.484615385,0.123076923,0.038461538,0.084615385,0.107692308,0.092307692,0.069230769
peas MR,0.090909091,0.045454545,0.045454545,0.136363636,0.181818182,0.227272727,0.272727273
peas NR,0.059322034,0.156779661,0.173728814,0.150423729,0.131355932,0.165254237,0.163135593
potroot LR,0,0.117647059,0.176470588,0.352941176,0.147058824,0.088235294,0.117647059
potroot HR,0,0,0,1,0,0,0
potroot KR,0.156996587,0.141638225,0.146757679,0.124573379,0.139931741,0.141638225,0.148464164
potroot MR,0,0,0,0.8,0.2,0,0
potroot NR,0.118811881,0.168316832,0.118811881,0.128712871,0.158415842,0.178217822,0.128712871
paneer LR,0.24137931,0.103448276,0.206896552,0.137931034,0.137931034,0.068965517,0.103448276
paneer HR,0,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.285714286
paneer KR,0.16039604,0.128712871,0.144554455,0.142574257,0.132673267,0.146534653,0.144554455
paneer MR,0.157894737,0.210526316,0.052631579,0.210526316,0.157894737,0.052631579,0.157894737
paneer NR,0.077380952,0.18452381,0.136904762,0.136904762,0.172619048,0.154761905,0.136904762
potato LR,0.022727273,0.113636364,0.136363636,0.181818182,0.227272727,0.159090909,0.159090909
potato HR,0,0,0,0,0.5,0,0.5
potato KR,0.208994709,0.126984127,0.134920635,0.153439153,0.126984127,0.108465608,0.14021164
potato MR,0.045454545,0.227272727,0.181818182,0.181818182,0.136363636,0.045454545,0.181818182
potato NR,0.082142857,0.164285714,0.153571429,0.121428571,0.146428571,0.196428571,0.135714286
pumkin LR,0.011627907,0.162790698,0.162790698,0.11627907,0.325581395,0.11627907,0.104651163
pumkin HR,0,0.2,0.2,0.2,0.2,0,0.2
pumkin MR,0.076923077,0.051282051,0.128205128,0.256410256,0.128205128,0.282051282,0.076923077
pumkin KR,0.714285714,0.051948052,0.064935065,0.051948052,0.038961039,0.012987013,0.064935065
pumkin NR,0.086372361,0.159309021,0.151631478,0.151631478,0.128598848,0.157389635,0.165067179
pudina LR,0,0,0.2,0,0.2,0.6,0
pudina KR,0.153374233,0.147239264,0.141104294,0.139570552,0.148773006,0.136503067,0.133435583
pudina NR,0.056338028,0.112676056,0.154929577,0.183098592,0.084507042,0.169014085,0.23943662
radish LR,0,0,0.25,0.5,0.25,0,0
radish HR,0,0.5,0,0,0.5,0,0
radish KR,0.149546828,0.143504532,0.148036254,0.13141994,0.137462236,0.137462236,0.152567976
radish MR,0,0.166666667,0,0.166666667,0,0.666666667,0
radish NR,0.092592593,0.12962963,0.092592593,0.259259259,0.203703704,0.166666667,0.055555556
tomato LR,0.060606061,0.075757576,0.075757576,0.181818182,0.121212121,0.287878788,0.196969697
tomato HR,0,0,0,0,0.5,0.5,0
tomato KR,0.167728238,0.146496815,0.142250531,0.13163482,0.152866242,0.123142251,0.135881104
tomato MR,0.1,0.15,0.15,0.05,0.2,0.15,0.2
tomato NR,0.112426036,0.159763314,0.171597633,0.171597633,0.112426036,0.136094675,0.136094675
tondaikai LR,0.056603774,0.160377358,0.136792453,0.198113208,0.169811321,0.160377358,0.117924528
tondaikai HR,0.051282051,0.205128205,0.153846154,0.205128205,0.153846154,0,0.230769231
tondaikai MR,0.156028369,0.14893617,0.163120567,0.156028369,0.156028369,0.070921986,0.14893617
tondaikai KR,0.898305085,0.050847458,0.033898305,0,0.016949153,0,0
tondaikai NR,0.054151625,0.137184116,0.158844765,0.115523466,0.140794224,0.216606498,0.176895307
vazpooThandu LR,0.059259259,0.088888889,0.162962963,0.296296296,0.140740741,0.118518519,0.133333333
vazpooThandu HR,0.1,0.2,0.15,0,0.25,0,0.3
vazpooThandu KR,0.329059829,0.145299145,0.141025641,0.042735043,0.102564103,0.098290598,0.141025641
vazpooThandu MR,0.050632911,0.126582278,0.101265823,0.113924051,0.164556962,0.291139241,0.151898734
vazpooThandu NR,0.05,0.169230769,0.146153846,0.173076923,0.165384615,0.161538462,0.134615385
yams LR,0.103092784,0.103092784,0.24742268,0.103092784,0.175257732,0.164948454,0.103092784
yams HR,0,0.043478261,0.086956522,0.173913043,0.260869565,0.304347826,0.130434783
yams MR,0.076923077,0.138461538,0.107692308,0.123076923,0.169230769,0.138461538,0.246153846
yams KR,0.9,0.05,0.033333333,0.016666667,0,0,0
yams NR,0.072463768,0.167701863,0.142857143,0.167701863,0.144927536,0.149068323,0.155279503
gram LR,0.075949367,0.101265823,0.227848101,0.088607595,0.164556962,0.189873418,0.151898734
gram HR,0,0.125,0.25,0.25,0.125,0.125,0.125
gram KR,0.319047619,0.133333333,0.09047619,0.119047619,0.128571429,0.080952381,0.128571429
gram MR,0.052631579,0.184210526,0.105263158,0.184210526,0.263157895,0.131578947,0.078947368
gram NR,0.073791349,0.152671756,0.155216285,0.160305344,0.134860051,0.167938931,0.155216285
channa LR,0,0.333333333,0.5,0.166666667,0,0,0
channa KR,0.155948553,0.139871383,0.143086817,0.155948553,0.136655949,0.138263666,0.13022508
channa NR,0.072164948,0.154639175,0.12371134,0.051546392,0.175257732,0.18556701,0.237113402
channa MR,0,0,0,0.333333333,0.666666667,0,0
dhal LR,0,0.166666667,0.055555556,0.388888889,0.277777778,0.055555556,0.055555556
dhal HR,0,0,0,0,0.5,0,0.5
dhal MR,0,0.266666667,0.066666667,0.133333333,0.4,0.133333333,0
dhal KR,0.161579892,0.13464991,0.131059246,0.143626571,0.127468582,0.152603232,0.149012567
dhal NR,0.104477612,0.164179104,0.21641791,0.111940299,0.149253731,0.119402985,0.134328358
maida LR,0,0,0.25,0,0.25,0,0.5
maida KR,0.161648177,0.144215531,0.142630745,0.12836767,0.12836767,0.150554675,0.144215531
maida NR,0.021505376,0.139784946,0.139784946,0.247311828,0.23655914,0.096774194,0.11827957
oats LR,0.075268817,0.107526882,0.107526882,0.11827957,0.215053763,0.225806452,0.150537634
oats HR,0.153846154,0.153846154,0.153846154,0.153846154,0.230769231,0,0.153846154
oats MR,0,0.102564103,0.205128205,0.230769231,0.230769231,0.128205128,0.102564103
oats KR,0.47008547,0.102564103,0.102564103,0.042735043,0.068376068,0.05982906,0.153846154
oats NR,0.08583691,0.163090129,0.154506438,0.165236052,0.137339056,0.152360515,0.141630901
ragi LR,0.026315789,0.118421053,0.25,0.105263158,0.157894737,0.25,0.092105263
ragi HR,0.2,0,0.2,0,0.6,0,0
ragi MR,0,0.108695652,0.195652174,0.239130435,0.108695652,0.239130435,0.108695652
ragi KR,0.333333333,0.128205128,0.112820513,0.138461538,0.102564103,0.092307692,0.092307692
ragi NR,0.088669951,0.160098522,0.130541872,0.142857143,0.157635468,0.137931034,0.18226601
rice LR,0.034482759,0.25862069,0.155172414,0.051724138,0.310344828,0.172413793,0.017241379
rice HR,0,0.6,0,0,0.4,0,0
rice KR,0.242339833,0.116991643,0.164345404,0.161559889,0.097493036,0.072423398,0.144846797
rice MR,0,0.28,0.04,0.12,0.24,0.2,0.12
rice NR,0.053380783,0.131672598,0.12455516,0.142348754,0.153024911,0.224199288,0.170818505
wheat LR,0.050847458,0.220338983,0.118644068,0.152542373,0.152542373,0.203389831,0.101694915
wheat HR,0,0.222222222,0.111111111,0,0,0.222222222,0.444444444
wheat KR,0.206266319,0.122715405,0.127937337,0.15926893,0.133159269,0.109660574,0.140992167
wheat MR,0,0.178571429,0.107142857,0.107142857,0.357142857,0.107142857,0.142857143
wheat NR,0.088353414,0.148594378,0.176706827,0.124497992,0.136546185,0.180722892,0.144578313
coconut LR,0.054545455,0.2,0.2,0.145454545,0.109090909,0.036363636,0.254545455
coconut HR,0,0.25,0.25,0,0.5,0,0
coconut KR,0.220159151,0.116710875,0.119363395,0.151193634,0.127320955,0.135278515,0.129973475
coconut MR,0.028571429,0.285714286,0.085714286,0.028571429,0.2,0.285714286,0.085714286
coconut NR,0.06614786,0.147859922,0.171206226,0.147859922,0.159533074,0.159533074,0.147859922
oil LR,0,0.125,0.25,0.5,0.125,0,0
oil KR,0.1546875,0.1453125,0.15,0.1234375,0.1453125,0.140625,0.140625
oil NR,0.067567568,0.121621622,0.067567568,0.283783784,0.135135135,0.135135135,0.189189189
oil MR,0,0.166666667,0.166666667,0,0,0.666666667,0
garlic LR,0.033333333,0.166666667,0.088888889,0.177777778,0.222222222,0.188888889,0.122222222
garlic HR,0,0.222222222,0.222222222,0,0.333333333,0,0.222222222
garlic MR,0.092592593,0.222222222,0.074074074,0.092592593,0.111111111,0.166666667,0.240740741
garlic KR,0.379746835,0.107594937,0.132911392,0.139240506,0.088607595,0.094936709,0.056962025
garlic NR,0.086330935,0.139088729,0.165467626,0.146282974,0.146282974,0.151079137,0.165467626
ginger LR,0.017857143,0.160714286,0.214285714,0.160714286,0.053571429,0.214285714,0.178571429
ginger HR,0,0,0,0.333333333,0.333333333,0,0.333333333
ginger KR,0.199501247,0.127182045,0.114713217,0.137157107,0.139650873,0.132169576,0.149625935
ginger MR,0,0.107142857,0.214285714,0.178571429,0.142857143,0.25,0.107142857
ginger NR,0.095833333,0.170833333,0.166666667,0.141666667,0.166666667,0.133333333,0.125
pepper LR,0.083333333,0.125,0.125,0.083333333,0.25,0.166666667,0.166666667
pepper HR,0,0,0.5,0,0.5,0,0
pepper MR,0,0,0.5,0,0,0.25,0.25
pepper KR,0.180076628,0.149425287,0.143678161,0.116858238,0.136015326,0.122605364,0.151340996
pepper NR,0.045454545,0.130681818,0.130681818,0.232954545,0.147727273,0.198863636,0.113636364
tamarind LR,0,0.181818182,0.181818182,0.181818182,0.363636364,0.090909091,0
tamarind HR,0,0.333333333,0.333333333,0,0,0,0.333333333
tamarind MR,0,0.4,0.2,0,0,0,0.4
