A/C,N,O,R,RU,U,UO,RO
housedust HR,0.000346704,0.000829075,0.001009964,0.000422074,0.000798927,0.000286408,0.000422074
housedust LR,7.54E-05,0.000346704,0.000437149,6.03E-05,0.000391926,0.000165815,9.04E-05
housedust MR,0.000497445,0.000708482,0.000964742,0.000271334,0.001190853,0.000301482,0.000376852
housedust NR,6.03E-05,0.000241185,0.000105519,9.04E-05,0.000391926,3.01E-05,7.54E-05
cottondust LR,0.000226111,0.000316556,0.000422074,0.000165815,0.00066326,0.000165815,0.000120593
cottondust HR,0.000150741,0.000301482,0.000361778,0.000180889,0.000542667,0.000211037,0.000105519
cottondust MR,0.000361778,0.000814001,0.000964742,0.000346704,0.000798927,0.000241185,0.000452223
cottondust KR,0,0,1.51E-05,0,1.51E-05,0,0
cottondust NR,0.000241185,0.000693408,0.000753704,0.000150741,0.000753704,0.000165815,0.000286408
aspergilus LR,0.000150741,0.000497445,0.000497445,9.04E-05,0.00066326,0.000150741,0.000180889
aspergilus HR,0.000150741,0.000542667,0.000527593,0.000165815,0.000452223,0.000150741,0.000271334
aspergilus MR,0.000422074,0.000618038,0.000798927,0.000407,0.000829075,0.000271334,0.00025626
aspergilus KR,1.51E-05,0,4.52E-05,1.51E-05,1.51E-05,1.51E-05,0
aspergilus NR,0.000241185,0.000467297,0.000648186,0.000165815,0.000814001,0.000195963,0.00025626
pollen LR,0.000135667,0.000135667,0.000391926,9.04E-05,0.000482371,0.000105519,0.000105519
pollen HR,0.000271334,0.000783853,0.000814001,0.000301482,0.000814001,0.00033163,0.000407
pollen MR,0.000497445,0.000829075,0.00107026,0.000407,0.00132652,0.000301482,0.000391926
pollen KR,0,1.51E-05,1.51E-05,1.51E-05,0,0,0
pollen NR,7.54E-05,0.000361778,0.000226111,3.01E-05,0.000150741,4.52E-05,6.03E-05
parthenium LR,9.04E-05,0.000150741,0.000195963,7.54E-05,0.000165815,4.52E-05,0
parthenium HR,0.000452223,0.001175779,0.001236075,0.000512519,0.00132652,0.000437149,0.000587889
parthenium MR,0.000407,0.000723556,0.000964742,0.000211037,0.001115483,0.000271334,0.00033163
parthenium KR,0,1.51E-05,0,0,0,0,0
parthenium NR,3.01E-05,6.03E-05,0.000120593,4.52E-05,0.000165815,3.01E-05,4.52E-05
cockroach LR,6.03E-05,0.00025626,0.000211037,0.000135667,0.000286408,6.03E-05,0.000105519
cockroach HR,0.000602964,0.000783853,0.001055186,0.000437149,0.00132652,0.000346704,0.000527593
cockroach MR,0.000286408,0.000844149,0.001040112,0.000241185,0.000889371,0.000286408,0.000211037
cockroach KR,0,1.51E-05,3.01E-05,0,1.51E-05,0,0
cockroach NR,3.01E-05,0.000226111,0.000180889,3.01E-05,0.00025626,9.04E-05,0.000120593
catdander LR,0,4.52E-05,6.03E-05,1.51E-05,3.01E-05,0,1.51E-05
catdander HR,0,0,0,0,3.01E-05,0,3.01E-05
catdander KR,0.000874297,0.002004854,0.00232141,0.000768779,0.002562595,0.000708482,0.000814001
catdander MR,0,0,1.51E-05,1.51E-05,1.51E-05,0,0
catdander NR,0.000105519,7.54E-05,0.000120593,4.52E-05,0.000135667,7.54E-05,0.000105519
dosfur LR,6.03E-05,3.01E-05,7.54E-05,9.04E-05,6.03E-05,7.54E-05,7.54E-05
dosfur HR,3.01E-05,1.51E-05,1.51E-05,3.01E-05,3.01E-05,1.51E-05,0
dosfur KR,0.000829075,0.001869187,0.002215891,0.000678334,0.002517373,0.00066326,0.000768779
dosfur MR,1.51E-05,0.000135667,4.52E-05,1.51E-05,9.04E-05,1.51E-05,9.04E-05
dosfur NR,4.52E-05,7.54E-05,0.000165815,3.01E-05,7.54E-05,1.51E-05,3.01E-05
roaddust LR,7.54E-05,0.000195963,0.000195963,9.04E-05,0.000286408,7.54E-05,0.000105519
roaddust HR,0,1.51E-05,0,0,4.52E-05,0,1.51E-05
roaddust MR,0,6.03E-05,0.000135667,4.52E-05,0.000150741,6.03E-05,7.54E-05
roaddust KR,0.000572815,0.000135667,0.000195963,4.52E-05,0.000195963,7.54E-05,7.54E-05
roaddust NR,0.00033163,0.001718446,0.00198978,0.00066326,0.002095298,0.000572815,0.000693408
oldpdust LR,1.51E-05,7.54E-05,3.01E-05,1.51E-05,0.000120593,4.52E-05,3.01E-05
oldpdust HR,0,1.51E-05,0,1.51E-05,1.51E-05,0,0
oldpdust KR,0.000949668,0.001869187,0.002261113,0.00073863,0.002381706,0.000648186,0.000859223
oldpdust MR,0,0,0,1.51E-05,6.03E-05,0,4.52E-05
oldpdust NR,1.51E-05,0.000165815,0.000226111,6.03E-05,0.000195963,9.04E-05,3.01E-05
PSdust LR,6.03E-05,0.000165815,0.000180889,9.04E-05,0.000361778,9.04E-05,4.52E-05
PSdust HR,0,0,7.54E-05,1.51E-05,3.01E-05,0,1.51E-05
PSdust KR,0.000618038,0.000844149,0.001115483,0.000301482,0.001100409,0.000241185,0.000376852
PSdust MR,3.01E-05,0.000211037,6.03E-05,9.04E-05,0.000241185,4.52E-05,3.01E-05
PSdust NR,0.000271334,0.000904445,0.001085334,0.000346704,0.001040112,0.000407,0.000497445
MilkP LR,4.52E-05,0.000165815,0.000211037,0.000120593,0.00025626,9.04E-05,1.51E-05
MilkP HR,0,6.03E-05,3.01E-05,1.51E-05,6.03E-05,0,1.51E-05
MilkP KR,0.000889371,0.00132652,0.001793817,0.000572815,0.001959632,0.000512519,0.00066326
MilkP MR,1.51E-05,0.000135667,0.000180889,6.03E-05,0.000135667,7.54E-05,1.51E-05
MilkP NR,3.01E-05,0.000437149,0.000301482,7.54E-05,0.000361778,0.000105519,0.00025626
MilkC LR,9.04E-05,0.000286408,0.000316556,0.000180889,0.000527593,7.54E-05,0.000195963
MilkC HR,1.51E-05,0.000211037,6.03E-05,3.01E-05,9.04E-05,9.04E-05,3.01E-05
MilkC KR,0.000723556,0.001085334,0.001251149,0.000482371,0.001296372,0.000346704,0.000512519
MilkC MR,4.52E-05,0.000120593,0.00033163,7.54E-05,0.000361778,7.54E-05,9.04E-05
MilkC NR,0.000105519,0.000422074,0.000557741,7.54E-05,0.000497445,0.000195963,0.000135667
curd LR,4.52E-05,7.54E-05,0.000105519,3.01E-05,0.000105519,6.03E-05,1.51E-05
curd KR,0.000889371,0.001763668,0.002170669,0.000678334,0.002351558,0.000648186,0.000844149
curd NR,1.51E-05,0.000241185,0.000241185,0.000135667,0.000271334,4.52E-05,9.04E-05
curd MR,3.01E-05,4.52E-05,0,0,4.52E-05,3.01E-05,1.51E-05
coffee LR,4.52E-05,0.000241185,0.000361778,0.000180889,0.000407,0.000105519,0.000165815
coffee HR,3.01E-05,4.52E-05,1.51E-05,1.51E-05,0.000120593,1.51E-05,3.01E-05
coffee MR,3.01E-05,0.000195963,0.000226111,9.04E-05,0.000286408,0.000105519,0.000105519
coffee KR,0.000693408,0.000814001,0.000829075,0.00025626,0.001055186,0.000286408,0.00025626
coffee NR,0.000180889,0.000829075,0.001085334,0.000301482,0.000904445,0.000271334,0.000407
tea LR,3.01E-05,0.000120593,0.000241185,7.54E-05,0.000301482,0.000120593,9.04E-05
tea HR,1.51E-05,7.54E-05,4.52E-05,1.51E-05,0.000105519,0,3.01E-05
tea MR,7.54E-05,0.000165815,0.000211037,9.04E-05,0.000316556,7.54E-05,4.52E-05
tea KR,0.000708482,0.00099489,0.001251149,0.000361778,0.001115483,0.000316556,0.000437149
tea NR,0.000150741,0.000768779,0.000768779,0.000301482,0.000934594,0.000271334,0.000361778
beef LR,7.54E-05,0.000241185,0.00033163,0.000120593,0.000316556,0.000150741,6.03E-05
beef HR,3.01E-05,1.51E-05,4.52E-05,0,3.01E-05,1.51E-05,4.52E-05
beef KR,0.000678334,0.000587889,0.000587889,0.00025626,0.000964742,0.000165815,0.000271334
beef MR,1.51E-05,0.000180889,0.000241185,0.000135667,0.000271334,0.000105519,0.000120593
beef NR,0.000180889,0.001100409,0.001311446,0.00033163,0.001190853,0.000346704,0.000467297
chicken LR,4.52E-05,0.000422074,0.000482371,0.000226111,0.000587889,0.000226111,0.000165815
chicken HR,0,1.51E-05,1.51E-05,1.51E-05,6.03E-05,0,0
chicken KR,0.000723556,0.000783853,0.000768779,0.000226111,0.000904445,0.000241185,0.000316556
chicken MR,0.000105519,0.000150741,9.04E-05,9.04E-05,0.000316556,4.52E-05,0.000105519
chicken NR,0.000105519,0.000753704,0.001160705,0.000286408,0.000904445,0.000271334,0.000376852
mutton LR,9.04E-05,0.000180889,0.00025626,0.000105519,0.000422074,3.01E-05,9.04E-05
mutton HR,0,0,1.51E-05,0,3.01E-05,0,0
mutton MR,0,6.03E-05,7.54E-05,4.52E-05,0.000120593,6.03E-05,4.52E-05
mutton KR,0.000753704,0.00107026,0.001205927,0.00033163,0.001236075,0.000391926,0.000467297
mutton NR,0.000135667,0.000814001,0.000964742,0.000361778,0.000964742,0.000301482,0.000361778
egg LR,3.01E-05,0.000195963,0.000226111,9.04E-05,0.000316556,4.52E-05,9.04E-05
egg HR,0,7.54E-05,6.03E-05,3.01E-05,4.52E-05,4.52E-05,1.51E-05
egg MR,4.52E-05,3.01E-05,0.000105519,3.01E-05,0.000150741,9.04E-05,0.000105519
egg KR,0.000889371,0.001477261,0.001763668,0.000542667,0.001869187,0.000497445,0.000678334
egg NR,1.51E-05,0.000346704,0.000361778,0.000150741,0.000391926,0.000105519,7.54E-05
fishA LR,6.03E-05,0.000241185,0.000286408,0.000105519,0.000271334,0.000105519,0.000105519
fishA HR,1.51E-05,7.54E-05,7.54E-05,3.01E-05,0.000135667,1.51E-05,1.51E-05
fishA KR,0.000814001,0.00099489,0.001100409,0.000391926,0.001341594,0.000361778,0.000452223
fishA MR,1.51E-05,0.000135667,0.000150741,3.01E-05,0.000195963,6.03E-05,0.000105519
fishA NR,7.54E-05,0.000678334,0.000904445,0.000286408,0.000829075,0.000241185,0.000286408
fishB LR,0,1.51E-05,0,1.51E-05,0,0,1.51E-05
fishB KR,0.000964742,0.00198978,0.002351558,0.000753704,0.002607817,0.000723556,0.000904445
fishB NR,1.51E-05,0.000120593,0.000165815,6.03E-05,0.000165815,6.03E-05,4.52E-05
fishB MR,0,0,0,1.51E-05,0,0,0
crab LR,7.54E-05,0.000271334,0.000150741,0.000105519,0.000346704,0.000135667,0.000120593
crab HR,0,1.51E-05,1.51E-05,3.01E-05,3.01E-05,1.51E-05,3.01E-05
crab KR,0.000693408,0.00099489,0.001221001,0.00033163,0.00107026,0.000301482,0.000497445
crab MR,1.51E-05,0.000120593,0.000150741,4.52E-05,0.00025626,6.03E-05,3.01E-05
crab NR,0.000195963,0.000723556,0.000979816,0.00033163,0.00107026,0.000271334,0.000286408
prawns LR,3.01E-05,9.04E-05,6.03E-05,4.52E-05,0.000105519,0,1.51E-05
prawns HR,0,0,1.51E-05,1.51E-05,1.51E-05,0,0
prawns MR,1.51E-05,3.01E-05,4.52E-05,1.51E-05,1.51E-05,0,0
prawns KR,0.000874297,0.001703372,0.001914409,0.000618038,0.002080224,0.000678334,0.000844149
prawns NR,6.03E-05,0.000301482,0.000482371,0.000150741,0.000557741,0.000105519,0.000105519
shark LR,0.000105519,0.00033163,0.000437149,0.000271334,0.000482371,0.000241185,0.000105519
shark HR,1.51E-05,4.52E-05,7.54E-05,0,9.04E-05,1.51E-05,0
shark MR,9.04E-05,0.000211037,0.00033163,4.52E-05,0.000346704,6.03E-05,6.03E-05
shark KR,0.000587889,0.000195963,0.000301482,6.03E-05,0.000271334,4.52E-05,0.000135667
shark NR,0.000180889,0.001341594,0.001371742,0.000467297,0.001582779,0.000422074,0.00066326
avaraikai LR,1.51E-05,0.000150741,0.000165815,7.54E-05,0.000316556,0.000120593,9.04E-05
avaraikai HR,0,4.52E-05,0,0,1.51E-05,3.01E-05,0
avaraikai KR,0.000753704,0.001221001,0.001190853,0.000422074,0.001281298,0.000286408,0.000407
avaraikai MR,0,6.03E-05,0.000120593,4.52E-05,0.000180889,3.01E-05,6.03E-05
avaraikai NR,0.000211037,0.000648186,0.001040112,0.000301482,0.000979816,0.000316556,0.000407
banana LR,0.000120593,0.000407,0.000602964,0.00025626,0.000572815,0.000180889,0.000286408
banana HR,0,4.52E-05,7.54E-05,3.01E-05,4.52E-05,3.01E-05,0
banana KR,0.000678334,0.000618038,0.000407,0.000180889,0.000753704,0.000195963,0.000211037
banana MR,1.51E-05,0.000105519,0.000271334,9.04E-05,0.000211037,4.52E-05,7.54E-05
banana NR,0.000165815,0.000949668,0.001160705,0.000286408,0.001190853,0.00033163,0.000391926
beans LR,4.52E-05,0.000211037,0.000241185,7.54E-05,0.000316556,0.000165815,0.000135667
beans HR,0,3.01E-05,0,1.51E-05,4.52E-05,0,0
beans KR,0.000723556,0.00073863,0.001085334,0.000361778,0.001100409,0.00033163,0.000467297
beans MR,0,0.000195963,3.01E-05,3.01E-05,0.000165815,0,3.01E-05
beans NR,0.000211037,0.000949668,0.001160705,0.000361778,0.001145631,0.000286408,0.00033163
beetroot LR,0,6.03E-05,9.04E-05,3.01E-05,6.03E-05,1.51E-05,4.52E-05
beetroot HR,0,0,1.51E-05,0,3.01E-05,0,1.51E-05
beetroot KR,0.000844149,0.001748594,0.00206515,0.000648186,0.002200817,0.000678334,0.000753704
beetroot MR,1.51E-05,4.52E-05,1.51E-05,0,3.01E-05,1.51E-05,1.51E-05
beetroot NR,0.000120593,0.000271334,0.00033163,0.000165815,0.000452223,7.54E-05,0.000135667
brinjal LR,0,1.51E-05,1.51E-05,3.01E-05,4.52E-05,0,0
brinjal KR,0.000919519,0.001929483,0.002261113,0.000768779,0.002366632,0.00066326,0.000829075
brinjal NR,6.03E-05,0.000180889,0.000241185,4.52E-05,0.00033163,0.000120593,0.000135667
brinjal MR,0,0,0,0,3.01E-05,0,0
cabbage LR,4.52E-05,0.000135667,0.000180889,6.03E-05,0.000180889,1.51E-05,1.51E-05
cabbage HR,0,0,1.51E-05,0,3.01E-05,0,0
cabbage KR,0.000814001,0.001281298,0.001507409,0.000512519,0.001884261,0.000512519,0.000768779
cabbage MR,1.51E-05,0.000120593,7.54E-05,1.51E-05,9.04E-05,0,1.51E-05
cabbage NR,0.000105519,0.000587889,0.00073863,0.00025626,0.000587889,0.00025626,0.000165815
capsicum LR,3.01E-05,0.000361778,0.000241185,0.000180889,0.00033163,6.03E-05,0.000105519
capsicum HR,0,0,6.03E-05,3.01E-05,7.54E-05,1.51E-05,1.51E-05
capsicum KR,0.000587889,0.000226111,0.000195963,4.52E-05,0.000286408,4.52E-05,0.000135667
capsicum MR,6.03E-05,0.000105519,7.54E-05,6.03E-05,0.000211037,1.51E-05,4.52E-05
capsicum NR,0.000301482,0.001432038,0.001944558,0.000527593,0.001869187,0.000648186,0.00066326
chillie LR,0,1.51E-05,3.01E-05,6.03E-05,9.04E-05,3.01E-05,3.01E-05
chillie HR,0,6.03E-05,0,0,1.51E-05,0,0
chillie KR,0.000904445,0.00165815,0.001944558,0.000618038,0.002110372,0.000633112,0.000829075
chillie MR,0,1.51E-05,3.01E-05,1.51E-05,3.01E-05,1.51E-05,0
chillie NR,7.54E-05,0.000376852,0.000512519,0.000150741,0.000527593,0.000105519,0.000105519
cauliflower LR,1.51E-05,6.03E-05,4.52E-05,3.01E-05,9.04E-05,4.52E-05,4.52E-05
cauliflower HR,0,0,1.51E-05,0,1.51E-05,0,1.51E-05
cauliflower KR,0.000949668,0.001673224,0.002095298,0.00066326,0.002215891,0.000678334,0.000829075
cauliflower MR,0,0,3.01E-05,0,4.52E-05,0,0
cauliflower NR,1.51E-05,0.000391926,0.00033163,0.000150741,0.000407,6.03E-05,7.54E-05
carrot LR,0,1.51E-05,3.01E-05,3.01E-05,4.52E-05,1.51E-05,0
carrot KR,0.000904445,0.001899335,0.002170669,0.000693408,0.002442002,0.000723556,0.000829075
carrot NR,7.54E-05,0.000211037,0.000301482,0.000120593,0.000271334,4.52E-05,0.000135667
carrot MR,0,0,1.51E-05,0,1.51E-05,0,0
chowchow LR,9.04E-05,0.000105519,0.000271334,0.000120593,0.000226111,9.04E-05,9.04E-05
chowchow HR,0,1.51E-05,3.01E-05,0,6.03E-05,0,0
chowchow MR,1.51E-05,0.000105519,0.000150741,7.54E-05,0.000165815,3.01E-05,7.54E-05
chowchow KR,0.000572815,0.000180889,0.00025626,6.03E-05,0.000180889,6.03E-05,6.03E-05
chowchow NR,0.000301482,0.001718446,0.001808891,0.000587889,0.002140521,0.000602964,0.00073863
corn LR,6.03E-05,0.000482371,0.000422074,0.000211037,0.000723556,0.000241185,0.000211037
corn HR,1.51E-05,3.01E-05,0.000120593,3.01E-05,0.000105519,3.01E-05,4.52E-05
corn MR,7.54E-05,0.000195963,0.000286408,0.000120593,0.000422074,6.03E-05,0.000135667
corn KR,0.000572815,0.000241185,0.000361778,4.52E-05,0.000135667,9.04E-05,6.03E-05
corn NR,0.00025626,0.001175779,0.00132652,0.000437149,0.001386816,0.000361778,0.000512519
cucumber LR,1.51E-05,0.000241185,0.000361778,0.000150741,0.000361778,0.000165815,0.000105519
cucumber HR,0,0,0,1.51E-05,1.51E-05,1.51E-05,1.51E-05
cucumber KR,0.000557741,0.000587889,0.000602964,0.000135667,0.000512519,0.000120593,0.000271334
cucumber MR,6.03E-05,4.52E-05,4.52E-05,4.52E-05,0.000150741,4.52E-05,7.54E-05
cucumber NR,0.000346704,0.001251149,0.001507409,0.000497445,0.00173352,0.000437149,0.000497445
drumstick LR,1.51E-05,4.52E-05,7.54E-05,0,7.54E-05,6.03E-05,1.51E-05
drumstick HR,1.51E-05,0,0,0,0,1.51E-05,0
drumstick KR,0.000859223,0.001597853,0.001944558,0.00066326,0.002080224,0.000542667,0.000798927
drumstick MR,0,1.51E-05,0,3.01E-05,3.01E-05,0,1.51E-05
drumstick NR,9.04E-05,0.000467297,0.000497445,0.000150741,0.000587889,0.000165815,0.000135667
greens LR,0,0,3.01E-05,3.01E-05,4.52E-05,0,1.51E-05
greens KR,0.000919519,0.002019928,0.002306336,0.000708482,0.002562595,0.000723556,0.000904445
greens NR,6.03E-05,0.000105519,0.000180889,0.000105519,0.000150741,6.03E-05,4.52E-05
greens MR,0,0,0,0,1.51E-05,0,0
gourds LR,9.04E-05,0.000407,0.000723556,0.000226111,0.000708482,0.000211037,0.000226111
gourds HR,0,0.000120593,0.000120593,7.54E-05,9.04E-05,1.51E-05,1.51E-05
gourds KR,0.000572815,0.000150741,0.000316556,0.000105519,0.000226111,6.03E-05,0.000105519
