A/C,R,O,N,RU,U,UO,RO
crab KR,0.001059547,0.000620592,0.000408682,0.000575182,0.001195774,0.000454091,0.000635728
crab MR,0.000105955,7.57E-05,1.51E-05,4.54E-05,0.000242182,7.57E-05,3.03E-05
crab NR,0.000862774,0.000454091,0.0001665,0.000590319,0.001135228,0.000378409,0.000378409
prawns LR,6.05E-05,7.57E-05,0,4.54E-05,0.000121091,0,1.51E-05
prawns HR,1.51E-05,0,0,4.54E-05,3.03E-05,0,0
prawns MR,4.54E-05,0,1.51E-05,3.03E-05,1.51E-05,0,0
prawns KR,0.001634729,0.001120092,0.000575182,0.001104956,0.00225532,0.001120092,0.001089819
prawns NR,0.000423819,0.0001665,4.54E-05,0.000211909,0.000438955,0.000136227,0.000151364
shark LR,0.000393546,0.000196773,6.05E-05,0.000438955,0.000529773,0.000408682,0.0001665
shark HR,6.05E-05,4.54E-05,1.51E-05,0,7.57E-05,1.51E-05,0
shark MR,0.000302728,0.000136227,7.57E-05,6.05E-05,0.000333,6.05E-05,6.05E-05
shark KR,0.000227046,0.000151364,0.000363273,0.000105955,0.000272455,9.08E-05,0.000151364
shark NR,0.001195774,0.000832501,0.000121091,0.000832501,0.001649865,0.000681137,0.00087791
avaraikai LR,0.0001665,0.000121091,1.51E-05,0.000181637,0.000227046,0.000151364,0.000121091
avaraikai HR,0,4.54E-05,0,0,0,4.54E-05,0
avaraikai KR,0.001059547,0.000696273,0.000454091,0.000681137,0.001332001,0.000484364,0.000514637
avaraikai MR,0.000105955,4.54E-05,0,6.05E-05,0.000211909,4.54E-05,7.57E-05
avaraikai NR,0.000847637,0.000454091,0.0001665,0.000514637,0.001089819,0.000529773,0.00054491
banana LR,0.000514637,0.000257318,9.08E-05,0.000469228,0.000484364,0.000287591,0.000378409
banana HR,7.57E-05,4.54E-05,0,6.05E-05,4.54E-05,3.03E-05,0
banana MR,0.000242182,6.05E-05,1.51E-05,0.000136227,0.000333,9.08E-05,7.57E-05
banana KR,0.000333,0.000438955,0.000393546,0.000333,0.000756819,0.000317864,0.000348137
banana NR,0.001014137,0.000560046,0.000136227,0.000438955,0.001241183,0.000529773,0.000454091
beans LR,0.000196773,0.000136227,3.03E-05,0.000121091,0.000348137,0.000317864,0.0001665
beans HR,0,3.03E-05,0,4.54E-05,4.54E-05,0,0
beans KR,0.000938455,0.0004995,0.000454091,0.000605455,0.00121091,0.000529773,0.000635728
beans MR,3.03E-05,0.000105955,0,6.05E-05,0.000136227,0,3.03E-05
beans NR,0.001014137,0.000590319,0.000151364,0.000605455,0.001120092,0.000408682,0.000423819
beetroot LR,7.57E-05,4.54E-05,0,4.54E-05,6.05E-05,1.51E-05,7.57E-05
beetroot HR,1.51E-05,0,0,0,3.03E-05,0,1.51E-05
beetroot MR,0,3.03E-05,1.51E-05,0,3.03E-05,1.51E-05,1.51E-05
beetroot KR,0.001786093,0.001135228,0.000560046,0.001120092,0.002240184,0.001104956,0.001014137
beetroot NR,0.000302728,0.000151364,6.05E-05,0.000272455,0.0004995,0.000121091,0.000136227
brinjal LR,1.51E-05,1.51E-05,0,4.54E-05,4.54E-05,0,0
brinjal KR,0.001952593,0.001241183,0.000605455,0.001332001,0.002482366,0.001029274,0.001104956
brinjal NR,0.000211909,0.000105955,3.03E-05,6.05E-05,0.000302728,0.000227046,0.000151364
brinjal MR,0,0,0,0,3.03E-05,0,0
cabbage LR,0.0001665,9.08E-05,3.03E-05,7.57E-05,0.000181637,1.51E-05,1.51E-05
cabbage HR,1.51E-05,0,0,0,1.51E-05,0,0
cabbage KR,0.001332001,0.000862774,0.000514637,0.00087791,0.002013138,0.000756819,0.001029274
cabbage MR,7.57E-05,4.54E-05,1.51E-05,1.51E-05,7.57E-05,0,1.51E-05
cabbage NR,0.000590319,0.000363273,7.57E-05,0.000469228,0.000575182,0.000484364,0.000196773
capsicum LR,0.000227046,0.000211909,3.03E-05,0.000302728,0.000438955,7.57E-05,0.000121091
capsicum HR,6.05E-05,0,0,6.05E-05,4.54E-05,1.51E-05,1.51E-05
capsicum MR,7.57E-05,7.57E-05,4.54E-05,0.000121091,0.000196773,1.51E-05,6.05E-05
capsicum KR,0.000151364,0.000136227,0.000363273,9.08E-05,0.000333,9.08E-05,0.000181637
capsicum NR,0.001665002,0.000938455,0.000196773,0.000862774,0.001846638,0.001059547,0.00087791
chillie LR,3.03E-05,1.51E-05,0,0.000151364,0.000105955,3.03E-05,4.54E-05
chillie HR,0,4.54E-05,0,0,1.51E-05,0,0
chillie MR,3.03E-05,1.51E-05,0,3.03E-05,4.54E-05,3.03E-05,0
chillie KR,0.001649865,0.001059547,0.000560046,0.001014137,0.002209911,0.001029274,0.001074683
chillie NR,0.000469228,0.000227046,7.57E-05,0.000242182,0.000484364,0.0001665,0.000136227
cauliflower LR,4.54E-05,4.54E-05,1.51E-05,4.54E-05,9.08E-05,9.08E-05,4.54E-05
cauliflower HR,1.51E-05,0,0,0,1.51E-05,0,3.03E-05
cauliflower KR,0.001801229,0.001074683,0.000605455,0.001165501,0.002361275,0.001089819,0.001089819
cauliflower MR,1.51E-05,0,0,0,0,0,0
cauliflower NR,0.000302728,0.000242182,1.51E-05,0.000227046,0.000393546,7.57E-05,9.08E-05
carrot LR,3.03E-05,1.51E-05,0,6.05E-05,3.03E-05,3.03E-05,0
carrot KR,0.001861775,0.00121091,0.000605455,0.00121091,0.002527775,0.001180638,0.001089819
carrot NR,0.000272455,0.000136227,3.03E-05,0.0001665,0.000287591,4.54E-05,0.0001665
carrot MR,1.51E-05,0,0,0,1.51E-05,0,0
chowchow LR,0.000242182,9.08E-05,6.05E-05,0.000181637,0.000287591,0.000136227,0.000121091
chowchow HR,3.03E-05,1.51E-05,0,0,6.05E-05,0,0
chowchow KR,0.000211909,0.000136227,0.000333,7.57E-05,0.000211909,7.57E-05,6.05E-05
chowchow MR,0.000136227,6.05E-05,1.51E-05,0.000121091,0.000136227,6.05E-05,7.57E-05
chowchow NR,0.001559047,0.001059547,0.000227046,0.001059547,0.002164502,0.000983865,0.000999001
corn LR,0.000363273,0.000302728,4.54E-05,0.000378409,0.000787092,0.000363273,0.000242182
corn HR,0.000105955,3.03E-05,0,3.03E-05,7.57E-05,4.54E-05,7.57E-05
corn KR,0.000302728,0.000136227,0.000348137,4.54E-05,0.0001665,0.000151364,6.05E-05
corn MR,0.000272455,0.000136227,6.05E-05,0.000211909,0.000438955,0.000105955,0.0001665
corn NR,0.001135228,0.000756819,0.000181637,0.000771955,0.001392547,0.000590319,0.00071141
cucumber LR,0.000317864,0.000196773,1.51E-05,0.000227046,0.000438955,0.000227046,0.000105955
cucumber HR,0,0,0,1.51E-05,0,3.03E-05,1.51E-05
cucumber MR,4.54E-05,3.03E-05,1.51E-05,6.05E-05,0.000151364,6.05E-05,7.57E-05
cucumber KR,0.000514637,0.000408682,0.000348137,0.000242182,0.000650864,0.000196773,0.000363273
cucumber NR,0.001301729,0.000726546,0.000257318,0.000893046,0.001619593,0.000741683,0.000696273
drumstick LR,7.57E-05,3.03E-05,0,0,4.54E-05,7.57E-05,1.51E-05
drumstick HR,0,0,1.51E-05,0,0,1.51E-05,0
drumstick MR,0,1.51E-05,0,3.03E-05,1.51E-05,0,1.51E-05
drumstick KR,0.001680138,0.000968728,0.000529773,0.00121091,0.002149366,0.000908183,0.001029274
drumstick NR,0.000423819,0.000348137,9.08E-05,0.000196773,0.000650864,0.000257318,0.000196773
greens LR,3.03E-05,0,0,3.03E-05,6.05E-05,0,3.03E-05
greens KR,0.001998002,0.001286592,0.000590319,0.00121091,0.002664003,0.001180638,0.001150365
greens NR,0.000151364,7.57E-05,4.54E-05,0.000196773,0.000121091,7.57E-05,7.57E-05
greens MR,0,0,0,0,1.51E-05,0,0
gourds LR,0.000620592,0.000287591,9.08E-05,0.000393546,0.000756819,0.000333,0.000333
gourds HR,9.08E-05,6.05E-05,0,0.000105955,0.000136227,1.51E-05,1.51E-05
gourds MR,0.000302728,0.000211909,9.08E-05,0.000348137,0.000514637,0.000242182,0.000196773
gourds KR,0.000257318,0.000105955,0.000348137,0.0001665,0.000227046,9.08E-05,0.000121091
gourds NR,0.000908183,0.000696273,0.000105955,0.000423819,0.001226047,0.000575182,0.000590319
kovaikai LR,4.54E-05,6.05E-05,3.03E-05,7.57E-05,0.000121091,3.03E-05,4.54E-05
kovaikai HR,1.51E-05,0,0,0,1.51E-05,0,0
kovaikai KR,0.00142282,0.000847637,0.000469228,0.001089819,0.001892047,0.000832501,0.000908183
kovaikai MR,1.51E-05,4.54E-05,1.51E-05,0,1.51E-05,4.54E-05,0
kovaikai NR,0.000681137,0.000408682,0.000121091,0.000272455,0.000817364,0.000348137,0.000302728
kothavarai LR,7.57E-05,0.000105955,1.51E-05,1.51E-05,0.000121091,7.57E-05,9.08E-05
kothavarai HR,0,1.51E-05,0,0,3.03E-05,0,0
kothavarai KR,0.001876911,0.001104956,0.000560046,0.00121091,0.002179639,0.000787092,0.001029274
kothavarai MR,0,0,0,3.03E-05,1.51E-05,4.54E-05,1.51E-05
kothavarai NR,0.000227046,0.000136227,6.05E-05,0.000181637,0.000514637,0.000348137,0.000121091
Lfinger LR,6.05E-05,9.08E-05,0,0.000105955,9.08E-05,1.51E-05,6.05E-05
Lfinger HR,0,1.51E-05,1.51E-05,0,0,0,0
Lfinger KR,0.001695274,0.000968728,0.000560046,0.001089819,0.002164502,0.000908183,0.000983865
Lfinger MR,1.51E-05,0,0,0,0,0,0
Lfinger NR,0.000408682,0.000287591,6.05E-05,0.000242182,0.000605455,0.000333,0.000211909
malli LR,0,1.51E-05,4.54E-05,6.05E-05,4.54E-05,0,1.51E-05
malli HR,1.51E-05,0,1.51E-05,0,0,1.51E-05,0
malli KR,0.002028275,0.00121091,0.00054491,0.001286592,0.002527775,0.001180638,0.001104956
malli MR,0,0,0,3.03E-05,1.51E-05,0,0
malli NR,0.000136227,0.000136227,3.03E-05,6.05E-05,0.000272455,6.05E-05,0.000136227
mango LR,0.000333,0.000227046,3.03E-05,0.000287591,0.000393546,0.000242182,0.000121091
mango HR,1.51E-05,0,0,0,3.03E-05,0,4.54E-05
mango KR,6.05E-05,6.05E-05,0.000333,4.54E-05,3.03E-05,0,0
mango MR,9.08E-05,0.000105955,1.51E-05,0.000151364,0.000196773,4.54E-05,0.000136227
mango NR,0.001680138,0.000968728,0.000257318,0.000953592,0.002209911,0.000968728,0.000953592
mushroom LR,9.08E-05,7.57E-05,3.03E-05,0.000136227,0.000227046,4.54E-05,1.51E-05
mushroom HR,0,0,0,0,1.51E-05,0,0
mushroom KR,0.001362274,0.000787092,0.000454091,0.00071141,0.001861775,0.000862774,0.000999001
mushroom MR,1.51E-05,3.03E-05,0,0,6.05E-05,3.03E-05,0
mushroom NR,0.00071141,0.000469228,0.000151364,0.000590319,0.000696273,0.000317864,0.000242182
nuckol LR,0.000136227,4.54E-05,1.51E-05,0.0001665,0.000317864,0.000105955,6.05E-05
nuckol HR,1.51E-05,3.03E-05,0,1.51E-05,0,0,3.03E-05
nuckol MR,0.000105955,7.57E-05,1.51E-05,0.000136227,0.000105955,0,3.03E-05
nuckol KR,0.001165501,0.000908183,0.000484364,0.000620592,0.001619593,0.000726546,0.000741683
nuckol NR,0.000756819,0.000302728,0.000121091,0.0004995,0.000817364,0.000423819,0.000393546
onion LR,7.57E-05,4.54E-05,0,1.51E-05,9.08E-05,6.05E-05,1.51E-05
onion HR,0,1.51E-05,0,0,0,0,0
onion KR,0.001634729,0.00104441,0.000620592,0.001135228,0.00225532,0.000999001,0.000983865
onion MR,3.03E-05,3.03E-05,0,3.03E-05,3.03E-05,3.03E-05,0
onion NR,0.000438955,0.000227046,1.51E-05,0.000257318,0.000484364,0.0001665,0.000257318
peas LR,0.000227046,0.0001665,4.54E-05,0.000227046,0.000529773,9.08E-05,0.000136227
peas HR,3.03E-05,0,1.51E-05,1.51E-05,3.03E-05,3.03E-05,1.51E-05
peas MR,4.54E-05,1.51E-05,1.51E-05,3.03E-05,0.0001665,4.54E-05,4.54E-05
peas KR,0.000121091,0.000211909,0.000393546,0.000136227,0.000333,0.000196773,0.000136227
peas NR,0.00175582,0.000968728,0.0001665,0.001029274,0.001801229,0.000893046,0.000923319
potroot LR,9.08E-05,4.54E-05,0,0.0001665,0.000121091,4.54E-05,7.57E-05
potroot HR,0,0,0,1.51E-05,0,0,0
potroot KR,0.001861775,0.001104956,0.000590319,0.000999001,0.002346139,0.001029274,0.001029274
potroot MR,0,0,0,6.05E-05,1.51E-05,0,0
potroot NR,0.000227046,0.000211909,4.54E-05,0.000196773,0.000378409,0.000181637,0.000151364
paneer LR,0.000121091,4.54E-05,4.54E-05,7.57E-05,0.000136227,4.54E-05,7.57E-05
paneer HR,1.51E-05,1.51E-05,0,1.51E-05,1.51E-05,3.03E-05,1.51E-05
paneer MR,3.03E-05,6.05E-05,3.03E-05,4.54E-05,6.05E-05,1.51E-05,4.54E-05
paneer KR,0.001513638,0.000802228,0.000484364,0.000983865,0.001876911,0.000787092,0.000847637
paneer NR,0.0004995,0.000438955,7.57E-05,0.000317864,0.000771955,0.000378409,0.000272455
potato LR,0.000151364,6.05E-05,1.51E-05,0.000105955,0.000181637,0.000105955,9.08E-05
potato HR,0,0,0,0,4.54E-05,0,1.51E-05
potato KR,0.001029274,0.000620592,0.000454091,0.000847637,0.00137741,0.000514637,0.000650864
potato MR,7.57E-05,7.57E-05,1.51E-05,6.05E-05,6.05E-05,1.51E-05,3.03E-05
potato NR,0.000923319,0.000605455,0.000151364,0.000423819,0.001195774,0.000620592,0.000469228
pumkin LR,0.000302728,0.000151364,1.51E-05,0.000151364,0.000681137,0.000105955,9.08E-05
pumkin HR,1.51E-05,1.51E-05,0,1.51E-05,3.03E-05,0,3.03E-05
pumkin MR,0.000105955,3.03E-05,1.51E-05,0.000136227,0.000136227,0.000196773,3.03E-05
pumkin KR,9.08E-05,4.54E-05,0.000333,4.54E-05,0.000105955,1.51E-05,7.57E-05
pumkin NR,0.001665002,0.001120092,0.000272455,0.001089819,0.001907184,0.000938455,0.001029274
pudina LR,1.51E-05,0,0,0,3.03E-05,4.54E-05,0
pudina KR,0.00192232,0.001241183,0.000605455,0.001241183,0.002497502,0.001074683,0.001120092
pudina NR,0.000242182,0.000121091,3.03E-05,0.000196773,0.000333,0.000136227,0.000136227
radish LR,1.51E-05,0,0,4.54E-05,4.54E-05,0,0
radish HR,0,1.51E-05,0,0,1.51E-05,0,0
radish MR,0,1.51E-05,0,1.51E-05,0,3.03E-05,0
radish KR,0.002028275,0.001226047,0.000590319,0.001195774,0.002573184,0.001074683,0.001195774
radish NR,0.000136227,0.000105955,4.54E-05,0.000181637,0.000227046,0.000151364,6.05E-05
tomato LR,0.000136227,6.05E-05,0,0.000136227,0.000257318,0.000227046,0.000151364
tomato HR,0,0,0,0,4.54E-05,1.51E-05,0
tomato MR,4.54E-05,4.54E-05,1.51E-05,1.51E-05,0.000151364,1.51E-05,4.54E-05
tomato KR,0.001407683,0.000893046,0.0004995,0.000908183,0.001861775,0.000666001,0.000771955
tomato NR,0.000590319,0.000363273,0.000121091,0.000378409,0.00054491,0.000333,0.000287591
tondaikai LR,0.000635728,0.000454091,7.57E-05,0.000666001,0.001074683,0.000408682,0.000272455
tondaikai HR,0.000105955,9.08E-05,1.51E-05,7.57E-05,0.000136227,0,0.000105955
tondaikai MR,0.0004995,0.000272455,0.000121091,0.000317864,0.000620592,0.000151364,0.000272455
tondaikai KR,3.03E-05,3.03E-05,0.000317864,0,4.54E-05,0,0
tondaikai NR,0.000908183,0.000514637,0.000105955,0.000378409,0.000983865,0.000696273,0.000605455
vazpooThandu LR,0.000529773,0.0001665,4.54E-05,0.00054491,0.000635728,0.000227046,0.000211909
vazpooThandu HR,9.08E-05,6.05E-05,1.51E-05,0,0.000121091,0,4.54E-05
vazpooThandu MR,0.0001665,0.000151364,3.03E-05,0.000136227,0.000272455,0.000272455,0.000151364
vazpooThandu KR,0.000620592,0.000438955,0.000454091,0.000136227,0.000726546,0.000257318,0.000378409
vazpooThandu NR,0.000771955,0.00054491,9.08E-05,0.000620592,0.001104956,0.0004995,0.000469228
yams LR,0.000438955,0.000136227,6.05E-05,0.000136227,0.000529773,0.000105955,0.000151364
yams HR,3.03E-05,1.51E-05,0,4.54E-05,0.000105955,4.54E-05,3.03E-05
yams MR,0.0001665,0.000105955,4.54E-05,0.000151364,0.000302728,0.000136227,0.000181637
yams KR,3.03E-05,3.03E-05,0.000317864,1.51E-05,4.54E-05,0,0
yams NR,0.001513638,0.001074683,0.000211909,0.001089819,0.001876911,0.000968728,0.000893046
gram LR,0.000378409,0.000121091,4.54E-05,0.000105955,0.000272455,0.000211909,0.000227046
gram HR,4.54E-05,1.51E-05,0,1.51E-05,3.03E-05,1.51E-05,1.51E-05
gram KR,0.000469228,0.000378409,0.000423819,0.000469228,0.000908183,0.000211909,0.000302728
gram MR,9.08E-05,9.08E-05,0,6.05E-05,0.000196773,4.54E-05,3.03E-05
gram NR,0.001195774,0.000756819,0.0001665,0.000787092,0.001453092,0.000771955,0.000681137
channa LR,6.05E-05,3.03E-05,0,1.51E-05,1.51E-05,0,0
channa HR,0,0,0,0,1.51E-05,0,0
channa KR,0.001846638,0.001120092,0.000575182,0.001271456,0.002452093,0.00104441,0.001029274
channa MR,0,0,0,3.03E-05,3.03E-05,0,0
channa NR,0.000272455,0.000211909,6.05E-05,0.000121091,0.000348137,0.000211909,0.000227046
dhal LR,1.51E-05,3.03E-05,0,6.05E-05,0.000151364,1.51E-05,3.03E-05
dhal HR,1.51E-05,0,0,0,1.51E-05,0,1.51E-05
dhal MR,1.51E-05,6.05E-05,0,1.51E-05,0.000105955,3.03E-05,0
dhal KR,0.001634729,0.000968728,0.000560046,0.001180638,0.001967729,0.000968728,0.001029274
dhal NR,0.0004995,0.000302728,7.57E-05,0.000181637,0.000620592,0.000242182,0.000181637
maida LR,1.51E-05,0,0,0,3.03E-05,0,3.03E-05
maida KR,0.001892047,0.001195774,0.000620592,0.001150365,0.002194775,0.001074683,0.001074683
maida NR,0.000272455,0.0001665,1.51E-05,0.000287591,0.000635728,0.000181637,0.000151364
oats LR,0.000227046,0.000121091,4.54E-05,0.000211909,0.000378409,0.000317864,0.000151364
oats HR,6.05E-05,3.03E-05,1.51E-05,3.03E-05,7.57E-05,0,1.51E-05
oats KR,0.000227046,0.000136227,0.000348137,9.08E-05,0.000272455,7.57E-05,0.000242182
oats MR,0.000151364,4.54E-05,0,9.08E-05,0.000302728,4.54E-05,3.03E-05
oats NR,0.001513638,0.001029274,0.000227046,0.001014137,0.001831502,0.000817364,0.000817364
ragi LR,0.000348137,0.000121091,3.03E-05,0.000151364,0.000393546,0.000257318,7.57E-05
ragi HR,1.51E-05,0,1.51E-05,0,6.05E-05,0,0
ragi KR,0.00054491,0.000302728,0.000378409,0.000363273,0.000590319,0.000227046,0.000242182
ragi MR,0.000181637,7.57E-05,0,0.000136227,0.000272455,0.000151364,4.54E-05
ragi NR,0.001089819,0.000862774,0.000211909,0.000787092,0.001543911,0.000620592,0.000893046
rice LR,0.000151364,0.000181637,3.03E-05,6.05E-05,0.000393546,0.000151364,1.51E-05
rice HR,1.51E-05,4.54E-05,0,0,3.03E-05,0,0
rice KR,0.00121091,0.000484364,0.000484364,0.00087791,0.001059547,0.000257318,0.000620592
rice MR,1.51E-05,0.000105955,0,1.51E-05,9.08E-05,7.57E-05,3.03E-05
rice NR,0.000787092,0.00054491,0.000121091,0.000484364,0.001286592,0.000771955,0.000590319
wheat LR,0.000181637,0.0001665,3.03E-05,0.000121091,0.000211909,0.000181637,6.05E-05
wheat HR,1.51E-05,3.03E-05,0,0,4.54E-05,1.51E-05,3.03E-05
wheat KR,0.000999001,0.000575182,0.000454091,0.000893046,0.001286592,0.000484364,0.000590319
wheat MR,6.05E-05,7.57E-05,0,3.03E-05,0.000272455,3.03E-05,7.57E-05
wheat NR,0.000923319,0.000514637,0.000151364,0.000393546,0.00104441,0.00054491,0.0004995
coconut LR,0.000227046,0.000151364,3.03E-05,0.000121091,0.000227046,1.51E-05,0.000121091
coconut HR,1.51E-05,1.51E-05,0,0,4.54E-05,0,0
coconut KR,0.000953592,0.000560046,0.0004995,0.000756819,0.001316865,0.00054491,0.000605455
coconut MR,6.05E-05,0.000136227,1.51E-05,3.03E-05,0.000136227,0.000105955,3.03E-05
coconut NR,0.000923319,0.0004995,9.08E-05,0.000529773,0.001135228,0.000590319,0.0004995
oil LR,4.54E-05,1.51E-05,0,6.05E-05,1.51E-05,0,0
oil KR,0.001982866,0.001226047,0.000605455,0.001120092,0.002558048,0.001074683,0.001104956
