A/C,N,R,O,RU,UO,U,RO
cauliflower LR,0.045454545,0.136363636,0.136363636,0.090909091,0.136363636,0.318181818,0.136363636
cauliflower HR,0,0.333333333,0,0,0,0.333333333,0.333333333
cauliflower MR,0,0.25,0,0,0,0.75,0
cauliflower KR,0.075125209,0.210350584,0.131886477,0.07345576,0.075125209,0.342237062,0.091819699
cauliflower NR,0.010309278,0.216494845,0.195876289,0.103092784,0.041237113,0.381443299,0.051546392
carrot LR,0,0.222222222,0.111111111,0.222222222,0.111111111,0.333333333,0
carrot KR,0.068642746,0.204368175,0.141965679,0.071762871,0.074882995,0.352574103,0.085803432
carrot NR,0.04109589,0.246575342,0.123287671,0.109589041,0.04109589,0.315068493,0.123287671
carrot MR,0,0.5,0,0,0,0.5,0
chowchow LR,0.068493151,0.232876712,0.082191781,0.109589041,0.082191781,0.342465753,0.082191781
chowchow HR,0,0.285714286,0.142857143,0,0,0.571428571,0
chowchow MR,0.023255814,0.209302326,0.139534884,0.11627907,0.046511628,0.348837209,0.11627907
chowchow KR,0.3,0.1875,0.125,0.05,0.05,0.2375,0.05
chowchow NR,0.03256705,0.208812261,0.149425287,0.074712644,0.076628352,0.363984674,0.093869732
corn LR,0.018518519,0.160493827,0.148148148,0.086419753,0.098765432,0.401234568,0.086419753
corn HR,0.038461538,0.269230769,0.076923077,0.076923077,0.076923077,0.346153846,0.115384615
corn MR,0.043956044,0.208791209,0.098901099,0.087912088,0.043956044,0.417582418,0.098901099
corn KR,0.301204819,0.253012048,0.120481928,0.036144578,0.072289157,0.168674699,0.048192771
corn NR,0.038567493,0.217630854,0.154269972,0.079889807,0.066115702,0.349862259,0.093663912
cucumber LR,0.00990099,0.217821782,0.148514851,0.099009901,0.108910891,0.346534653,0.069306931
cucumber HR,0,0,0,0.25,0.25,0.25,0.25
cucumber KR,0.143678161,0.201149425,0.172413793,0.051724138,0.045977011,0.281609195,0.103448276
cucumber MR,0.0625,0.09375,0.0625,0.09375,0.09375,0.4375,0.15625
cucumber NR,0.04589372,0.222222222,0.130434783,0.079710145,0.070048309,0.371980676,0.079710145
drumstick LR,0.055555556,0.277777778,0.111111111,0,0.222222222,0.277777778,0.055555556
drumstick HR,0.5,0,0,0,0.5,0,0
drumstick KR,0.070780399,0.210526316,0.13430127,0.079854809,0.065335753,0.343012704,0.096188748
drumstick MR,0,0,0.166666667,0.333333333,0,0.333333333,0.166666667
drumstick NR,0.040540541,0.209459459,0.162162162,0.067567568,0.074324324,0.385135135,0.060810811
greens LR,0,0.222222222,0,0.222222222,0,0.444444444,0.111111111
greens KR,0.064759036,0.207831325,0.143072289,0.070783133,0.072289157,0.350903614,0.090361446
greens NR,0.078431373,0.235294118,0.117647059,0.137254902,0.078431373,0.294117647,0.058823529
greens MR,0,0,0,0,0,1,0
gourds LR,0.032967033,0.247252747,0.115384615,0.082417582,0.076923077,0.362637363,0.082417582
gourds HR,0,0.225806452,0.161290323,0.161290323,0.032258065,0.387096774,0.032258065
gourds KR,0.280898876,0.202247191,0.08988764,0.078651685,0.04494382,0.224719101,0.078651685
gourds MR,0.049180328,0.163934426,0.12295082,0.106557377,0.090163934,0.393442623,0.073770492
gourds NR,0.033222591,0.205980066,0.172757475,0.053156146,0.073089701,0.355481728,0.106312292
kovaikai LR,0.071428571,0.214285714,0.142857143,0.107142857,0.035714286,0.357142857,0.071428571
kovaikai HR,0,0.5,0,0,0,0.5,0
kovaikai KR,0.070993915,0.198782961,0.133874239,0.0831643,0.068965517,0.354969574,0.089249493
kovaikai MR,0.142857143,0.142857143,0.428571429,0,0.142857143,0.142857143,0
kovaikai NR,0.046153846,0.235897436,0.143589744,0.061538462,0.082051282,0.338461538,0.092307692
kothavarai LR,0.033333333,0.166666667,0.233333333,0.033333333,0.1,0.333333333,0.1
kothavarai HR,0,0,0.333333333,0,0,0.666666667,0
kothavarai KR,0.072041166,0.224699828,0.140651801,0.082332762,0.058319039,0.329331046,0.092624357
kothavarai MR,0,0.111111111,0,0.111111111,0.222222222,0.444444444,0.111111111
kothavarai NR,0.04,0.15,0.11,0.06,0.13,0.45,0.06
Lfinger LR,0.04,0.16,0.24,0.16,0.04,0.24,0.12
Lfinger HR,0.333333333,0,0.333333333,0,0,0.333333333,0
Lfinger KR,0.073873874,0.212612613,0.131531532,0.077477477,0.07027027,0.345945946,0.088288288
Lfinger MR,0,0.333333333,0.333333333,0,0,0.333333333,0
Lfinger NR,0.028776978,0.208633094,0.143884892,0.064748201,0.086330935,0.381294964,0.086330935
malli LR,0.272727273,0,0.090909091,0.181818182,0,0.363636364,0.090909091
malli HR,0.333333333,0.333333333,0,0,0.333333333,0,0
malli KR,0.063271605,0.219135802,0.140432099,0.077160494,0.074074074,0.341049383,0.084876543
malli MR,0,0,0,0.5,0,0.5,0
malli NR,0.032786885,0.147540984,0.147540984,0.049180328,0.049180328,0.442622951,0.131147541
mango LR,0.018348624,0.211009174,0.146788991,0.091743119,0.100917431,0.357798165,0.073394495
mango HR,0,0.125,0,0,0,0.5,0.375
mango KR,0.615384615,0.102564103,0.128205128,0.051282051,0,0.102564103,0
mango MR,0.022727273,0.136363636,0.159090909,0.136363636,0.045454545,0.340909091,0.159090909
mango NR,0.038095238,0.224761905,0.139047619,0.072380952,0.074285714,0.363809524,0.087619048
mushroom LR,0.076923077,0.153846154,0.128205128,0.128205128,0.051282051,0.435897436,0.025641026
mushroom HR,0,0,0,0,0,1,0
mushroom KR,0.070362473,0.202558635,0.132196162,0.061833689,0.076759062,0.351812367,0.104477612
mushroom MR,0,0.111111111,0.222222222,0,0.111111111,0.555555556,0
mushroom NR,0.053398058,0.242718447,0.155339806,0.106796117,0.063106796,0.310679612,0.067961165
nuckol LR,0.01754386,0.175438596,0.070175439,0.105263158,0.087719298,0.473684211,0.070175439
nuckol HR,0,0.166666667,0.333333333,0.166666667,0,0,0.333333333
nuckol MR,0.033333333,0.233333333,0.166666667,0.166666667,0,0.333333333,0.066666667
nuckol KR,0.086330935,0.196642686,0.163069544,0.064748201,0.067146283,0.338129496,0.083932854
nuckol NR,0.041860465,0.241860465,0.102325581,0.079069767,0.088372093,0.348837209,0.097674419
onion LR,0,0.238095238,0.142857143,0.047619048,0.095238095,0.428571429,0.047619048
onion HR,0,0,0.5,0,0,0.5,0
onion MR,0,0.333333333,0.222222222,0.111111111,0.111111111,0.222222222,0
onion KR,0.080279232,0.20069808,0.136125654,0.073298429,0.071553229,0.35078534,0.087260035
onion NR,0.008333333,0.241666667,0.141666667,0.1,0.066666667,0.333333333,0.108333333
peas LR,0.031578947,0.168421053,0.126315789,0.105263158,0.042105263,0.463157895,0.063157895
peas HR,0.111111111,0.222222222,0,0.111111111,0.111111111,0.333333333,0.111111111
peas KR,0.266055046,0.082568807,0.146788991,0.064220183,0.082568807,0.293577982,0.064220183
peas MR,0.038461538,0.153846154,0.038461538,0.076923077,0.076923077,0.5,0.115384615
peas NR,0.026748971,0.248971193,0.148148148,0.074074074,0.074074074,0.33127572,0.096707819
potroot LR,0,0.206896552,0.103448276,0.206896552,0.103448276,0.275862069,0.103448276
potroot HR,0,0,0,1,0,0,0
potroot KR,0.070826307,0.217537943,0.138279933,0.065767285,0.070826307,0.344013491,0.092748735
potroot MR,0,0,0,0.5,0,0.5,0
potroot NR,0.051020408,0.173469388,0.163265306,0.081632653,0.071428571,0.397959184,0.06122449
paneer LR,0.085714286,0.228571429,0.085714286,0.085714286,0.057142857,0.371428571,0.085714286
paneer HR,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667
paneer KR,0.072765073,0.218295218,0.128898129,0.074844075,0.070686071,0.345114345,0.089397089
paneer MR,0.111111111,0.111111111,0.222222222,0.111111111,0.055555556,0.277777778,0.111111111
paneer NR,0.037837838,0.194594595,0.167567568,0.075675676,0.075675676,0.367567568,0.081081081
potato LR,0.02,0.2,0.1,0.08,0.1,0.4,0.1
potato HR,0,0,0,0,0,0.75,0.25
potato KR,0.097701149,0.206896552,0.132183908,0.086206897,0.054597701,0.33045977,0.091954023
potato MR,0.043478261,0.217391304,0.217391304,0.130434783,0.043478261,0.260869565,0.086956522
potato NR,0.036666667,0.216666667,0.15,0.063333333,0.09,0.363333333,0.08
pumkin LR,0.009174312,0.19266055,0.128440367,0.064220183,0.055045872,0.495412844,0.055045872
pumkin HR,0,0.285714286,0.142857143,0.142857143,0,0.285714286,0.142857143
pumkin KR,0.489795918,0.12244898,0.081632653,0.040816327,0.020408163,0.163265306,0.081632653
pumkin MR,0.027777778,0.194444444,0.055555556,0.166666667,0.194444444,0.305555556,0.055555556
pumkin NR,0.040076336,0.221374046,0.152671756,0.076335878,0.072519084,0.339694656,0.097328244
pudina LR,0,0.2,0,0,0.4,0.4,0
pudina KR,0.0703125,0.2078125,0.1453125,0.0734375,0.0703125,0.346875,0.0859375
pudina NR,0.025,0.225,0.1,0.1125,0.0625,0.3625,0.1125
radish LR,0,0.142857143,0,0.285714286,0,0.571428571,0
radish HR,0,0,0.333333333,0,0,0.666666667,0
radish KR,0.066869301,0.215805471,0.139817629,0.069908815,0.069908815,0.344984802,0.092705167
radish MR,0,0,0.25,0.25,0.5,0,0
radish NR,0.056603774,0.169811321,0.132075472,0.132075472,0.075471698,0.377358491,0.056603774
tomato LR,0.016393443,0.147540984,0.081967213,0.081967213,0.163934426,0.37704918,0.131147541
tomato HR,0,0,0,0,0.25,0.75,0
tomato KR,0.079741379,0.213362069,0.146551724,0.077586207,0.058189655,0.338362069,0.086206897
tomato MR,0.043478261,0.130434783,0.130434783,0.043478261,0.043478261,0.52173913,0.086956522
tomato NR,0.046242775,0.23699422,0.144508671,0.080924855,0.075144509,0.335260116,0.080924855
tondaikai LR,0.026200873,0.187772926,0.148471616,0.096069869,0.074235808,0.401746725,0.065502183
tondaikai HR,0.025641026,0.179487179,0.205128205,0.076923077,0,0.358974359,0.153846154
tondaikai KR,0.741935484,0.064516129,0.096774194,0,0,0.096774194,0
tondaikai MR,0.06,0.24,0.133333333,0.1,0.04,0.333333333,0.093333333
tondaikai NR,0.028985507,0.231884058,0.130434783,0.057971014,0.105072464,0.34057971,0.105072464
vazpooThandu LR,0.026490066,0.245033113,0.079470199,0.139072848,0.066225166,0.364238411,0.079470199
vazpooThandu HR,0.038461538,0.230769231,0.153846154,0,0,0.461538462,0.115384615
vazpooThandu KR,0.15942029,0.207729469,0.164251208,0.028985507,0.057971014,0.289855072,0.09178744
vazpooThandu MR,0.026315789,0.157894737,0.131578947,0.078947368,0.144736842,0.355263158,0.105263158
vazpooThandu NR,0.026415094,0.203773585,0.154716981,0.086792453,0.071698113,0.373584906,0.083018868
yams LR,0.04587156,0.275229358,0.091743119,0.055045872,0.055045872,0.403669725,0.073394495
yams HR,0,0.111111111,0.055555556,0.111111111,0.166666667,0.444444444,0.111111111
yams MR,0.042857143,0.171428571,0.128571429,0.085714286,0.085714286,0.357142857,0.128571429
yams KR,0.71875,0.0625,0.09375,0.03125,0,0.09375,0
yams NR,0.032258065,0.213709677,0.157258065,0.08266129,0.074596774,0.348790323,0.090725806
gram LR,0.033707865,0.280898876,0.08988764,0.056179775,0.112359551,0.325842697,0.101123596
gram HR,0,0.3,0.1,0.1,0.1,0.3,0.1
gram KR,0.142201835,0.160550459,0.128440367,0.073394495,0.041284404,0.376146789,0.077981651
gram MR,0.027777778,0.194444444,0.194444444,0.083333333,0.055555556,0.388888889,0.055555556
gram NR,0.032258065,0.220430108,0.153225806,0.083333333,0.080645161,0.336021505,0.094086022
channa LR,0,0.5,0.25,0.125,0,0.125,0
channa HR,0,0,0,0,0,1,0
channa KR,0.068910256,0.208333333,0.134615385,0.081730769,0.070512821,0.349358974,0.086538462
channa MR,0,0,0,0.25,0,0.75,0
channa NR,0.045454545,0.204545455,0.170454545,0.034090909,0.090909091,0.340909091,0.113636364
dhal LR,0,0.086956522,0.130434783,0.086956522,0.043478261,0.608695652,0.043478261
dhal HR,0,0.25,0,0,0,0.5,0.25
dhal MR,0,0.066666667,0.266666667,0.066666667,0.066666667,0.533333333,0
dhal KR,0.076779026,0.213483146,0.13670412,0.082397004,0.071161049,0.320224719,0.099250936
dhal NR,0.040268456,0.228187919,0.140939597,0.060402685,0.080536913,0.389261745,0.060402685
maida LR,0,0.4,0,0,0,0.4,0.2
maida KR,0.07615894,0.216887417,0.147350993,0.071192053,0.072847682,0.322847682,0.092715232
maida NR,0.00862069,0.163793103,0.103448276,0.112068966,0.068965517,0.482758621,0.060344828
oats LR,0.032258065,0.182795699,0.107526882,0.075268817,0.11827957,0.397849462,0.086021505
oats HR,0.05,0.2,0.1,0.05,0,0.55,0.05
oats KR,0.260416667,0.15625,0.125,0.03125,0.041666667,0.25,0.135416667
oats MR,0,0.222222222,0.088888889,0.111111111,0.066666667,0.466666667,0.044444444
oats NR,0.038216561,0.225053079,0.154989384,0.08492569,0.072186837,0.33970276,0.08492569
ragi LR,0.022988506,0.264367816,0.103448276,0.068965517,0.103448276,0.379310345,0.057471264
ragi HR,0.125,0.125,0,0,0,0.75,0
ragi KR,0.161111111,0.205555556,0.133333333,0.083333333,0.061111111,0.288888889,0.066666667
ragi MR,0,0.254901961,0.098039216,0.098039216,0.117647059,0.37254902,0.058823529
ragi NR,0.037593985,0.195488722,0.157894737,0.07518797,0.065162907,0.35839599,0.110275689
rice LR,0.025974026,0.12987013,0.194805195,0.038961039,0.090909091,0.506493506,0.012987013
rice HR,0,0.142857143,0.428571429,0,0,0.428571429,0
rice KR,0.110429448,0.260736196,0.119631902,0.101226994,0.042944785,0.27607362,0.088957055
rice MR,0,0.038461538,0.269230769,0.038461538,0.115384615,0.461538462,0.076923077
rice NR,0.031141869,0.190311419,0.128027682,0.065743945,0.096885813,0.37716263,0.110726644
wheat LR,0.031746032,0.19047619,0.206349206,0.111111111,0.111111111,0.285714286,0.063492063
wheat HR,0,0.111111111,0.222222222,0,0.111111111,0.333333333,0.222222222
wheat KR,0.096866097,0.196581197,0.128205128,0.091168091,0.05982906,0.344729345,0.082621083
wheat MR,0,0.170731707,0.12195122,0.024390244,0.048780488,0.56097561,0.073170732
wheat NR,0.042145594,0.24137931,0.137931034,0.061302682,0.08045977,0.337164751,0.099616858
coconut LR,0.033333333,0.25,0.183333333,0.066666667,0.016666667,0.316666667,0.133333333
coconut HR,0,0.166666667,0.166666667,0,0,0.666666667,0
coconut MR,0.029411765,0.117647059,0.294117647,0.029411765,0.117647059,0.352941176,0.058823529
coconut KR,0.108187135,0.192982456,0.125730994,0.084795322,0.067251462,0.33625731,0.084795322
coconut NR,0.024734982,0.233215548,0.127208481,0.077738516,0.084805654,0.363957597,0.088339223
oil LR,0,0.428571429,0.142857143,0.285714286,0,0.142857143,0
oil MR,0,0.25,0.25,0,0.5,0,0
oil KR,0.070202808,0.215288612,0.141965679,0.068642746,0.065522621,0.351014041,0.087363495
oil NR,0.02739726,0.136986301,0.109589041,0.136986301,0.109589041,0.369863014,0.109589041
garlic LR,0.019230769,0.134615385,0.144230769,0.096153846,0.076923077,0.480769231,0.048076923
garlic HR,0,0.235294118,0.117647059,0,0,0.529411765,0.117647059
garlic KR,0.187969925,0.218045113,0.127819549,0.082706767,0.052631579,0.285714286,0.045112782
garlic MR,0.056603774,0.132075472,0.226415094,0.056603774,0.075471698,0.283018868,0.169811321
garlic NR,0.040669856,0.234449761,0.131578947,0.076555024,0.078947368,0.337320574,0.100478469
ginger LR,0.016949153,0.254237288,0.152542373,0.084745763,0.101694915,0.288135593,0.101694915
ginger HR,0,0,0,0.25,0,0.5,0.25
ginger KR,0.091623037,0.180628272,0.133507853,0.073298429,0.065445026,0.356020942,0.09947644
ginger MR,0,0.258064516,0.096774194,0.064516129,0.096774194,0.419354839,0.064516129
ginger NR,0.044176707,0.240963855,0.152610442,0.080321285,0.072289157,0.341365462,0.068273092
pepper LR,0.055555556,0.166666667,0.166666667,0.055555556,0.055555556,0.388888889,0.111111111
pepper HR,0,0.333333333,0,0,0,0.666666667,0
pepper KR,0.078947368,0.212406015,0.142857143,0.065789474,0.065789474,0.347744361,0.086466165
pepper MR,0,0.4,0,0,0.2,0.2,0.2
pepper NR,0.023952096,0.19760479,0.131736527,0.119760479,0.089820359,0.347305389,0.089820359
tamarind LR,0,0.2,0.2,0.1,0.1,0.4,0
tamarind HR,0,0.333333333,0.333333333,0,0,0,0.333333333
tamarind MR,0,0.333333333,0.222222222,0,0,0.333333333,0.111111111
tamarind KR,0.077854671,0.212802768,0.133217993,0.070934256,0.064013841,0.359861592,0.081314879
tamarind NR,0.016,0.184,0.152,0.112,0.112,0.304,0.12
aginomoto LR,0.1,0,0.3,0.1,0.2,0.2,0.1
aginomoto KR,0.067082683,0.215288612,0.140405616,0.076443058,0.068642746,0.344773791,0.087363495
aginomoto NR,0.042857143,0.185714286,0.085714286,0.085714286,0.071428571,0.428571429,0.1
aginomoto MR,0,0.25,0.5,0,0.25,0,0
spices LR,0.090909091,0.090909091,0.272727273,0,0.090909091,0.363636364,0.090909091
spices KR,0.067398119,0.214733542,0.141065831,0.076802508,0.068965517,0.343260188,0.087774295
spices NR,0.041666667,0.180555556,0.097222222,0.097222222,0.083333333,0.402777778,0.097222222
spices MR,0,0.25,0.25,0,0.25,0.25,0
coco LR,0.04534005,0.221662469,0.136020151,0.057934509,0.088161209,0.367758186,0.083123426
coco HR,0.057142857,0.171428571,0.085714286,0.142857143,0.057142857,0.314285714,0.171428571
coco KR,0.214953271,0.242990654,0.177570093,0.018691589,0.028037383,0.196261682,0.121495327
coco MR,0.016949153,0.152542373,0.110169492,0.13559322,0.042372881,0.457627119,0.084745763
coco NR,0.029411765,0.205882353,0.176470588,0.147058824,0.102941176,0.308823529,0.029411765
horlicks LR,0.046272494,0.210796915,0.138817481,0.077120823,0.079691517,0.372750643,0.074550129
horlicks HR,0.05,0.1,0.05,0,0.1,0.6,0.1
horlicks KR,0.186567164,0.276119403,0.156716418,0.029850746,0.029850746,0.208955224,0.111940299
horlicks MR,0,0.144329897,0.103092784,0.12371134,0.082474227,0.412371134,0.134020619
horlicks NR,0.035294118,0.2,0.176470588,0.117647059,0.082352941,0.329411765,0.058823529
boost LR,0.033898305,0.118644068,0.169491525,0.050847458,0.084745763,0.372881356,0.169491525
boost HR,0,0.25,0,0,0,0.75,0
boost KR,0.079096045,0.22787194,0.13747646,0.09039548,0.06779661,0.316384181,0.080979284
boost MR,0.1,0.3,0.1,0,0.1,0.4,0
boost NR,0.016528926,0.165289256,0.140495868,0.041322314,0.082644628,0.462809917,0.090909091
nuts LR,0.030120482,0.162650602,0.126506024,0.078313253,0.090361446,0.415662651,0.096385542
nuts HR,0.025641026,0.282051282,0.128205128,0.128205128,0.025641026,0.333333333,0.076923077
nuts MR,0.021505376,0.204301075,0.139784946,0.096774194,0.043010753,0.365591398,0.129032258
nuts KR,0.153846154,0.218934911,0.130177515,0.071005917,0.071005917,0.313609467,0.041420118
nuts NR,0.050387597,0.224806202,0.15503876,0.065891473,0.07751938,0.325581395,0.100775194
runningnose YES,0.004347826,0.508695652,0.052173913,0.204347826,0,0.013043478,0.217391304
runningnose NO,0.092929293,0.070707071,0.17979798,0.018181818,0.105050505,0.505050505,0.028282828
sneeze YES,0,0.508547009,0.05982906,0.205128205,0,0.004273504,0.222222222
sneeze NO,0.095723014,0.067209776,0.177189409,0.016293279,0.105906314,0.513238289,0.024439919
cough YES,0,0.428571429,0.090909091,0.220779221,0.012987013,0,0.246753247
cough NO,0.082311734,0.15061296,0.152364273,0.038528897,0.087565674,0.443082312,0.045534151
wheezeBlocks YES,0,0.435,0.12,0.215,0.01,0.01,0.21
wheezeBlocks NO,0.08952381,0.123809524,0.146666667,0.024761905,0.095238095,0.478095238,0.041904762
headache YES,0,0.324786325,0.051282051,0.299145299,0.008547009,0,0.316239316
headache NO,0.077302632,0.1875,0.15625,0.034539474,0.083881579,0.416118421,0.044407895
itching YES,0.002463054,0.002463054,0.130541872,0.130541872,0.125615764,0.603448276,0.004926108
itching NO,0.144200627,0.473354232,0.150470219,0.009404389,0.003134796,0.02507837,0.194357367
swelling YES,0,0,0.085714286,0.205714286,0.12,0.588571429,0
swelling NO,0.085454545,0.276363636,0.156363636,0.036363636,0.056363636,0.272727273,0.116363636
redrashes YES,0,0,0.092307692,0.269230769,0.123076923,0.515384615,0
redrashes NO,0.078991597,0.255462185,0.149579832,0.035294118,0.060504202,0.312605042,0.107563025
Age G3,0.063559322,0.169491525,0.131355932,0.110169492,0.097457627,0.368644068,0.059322034
